inter_arrival_time,service_time
0.0028289213132726004,8.43929935186e-05
0.2950019356726844,0.00043587393729669
0.00177741904864267,0.09154708608384073
0.23418573187616787,0.0034049843341615103
0.0029121849160968004,8.243760788781e-05
0.0028896144104316405,0.06828018764064796
0.011571305906084932,0.00806830927728434
0.0038322924284552398,0.0891661992232101
0.13822741195512286,0.00184973657822015
0.00884659279266946,0.0021882416160306103
0.00103318304819999,0.00054978898115036
0.01745329815110989,0.0042595662712645805
0.00283513287169313,0.0001358589643097
0.01431987104205619,0.0018435501907186102
0.51228189026203,0.0013448405121388501
0.01125641786512878,0.0012044150472634901
0.13906049852812763,0.8955292213613302
0.00956269084778589,0.00484207494396951
0.011086058170544281,0.02331885893282476
0.00248701511686774,0.1651069933607049
0.01019159170532881,0.0006956293293504701
0.01203591132065712,0.0018385069655282701
0.14258646927803745,0.00764696916296312
0.011381016491719801,0.00245406364114793
0.0032723136736517704,0.01541299133345872
0.007466722726349071,0.00388467280305042
0.0103231455885065,0.00058642738263201
0.0021379985326067503,0.02404636539474067
0.00812437894700186,0.00840542137340586
0.00056788641263454,0.00326813342836276
0.00048124902292053,0.01154055024937149
0.10285693133199747,0.00081756103480748
3.011825008138e-05,0.00967516863514656
0.00023186639232124998,0.01853428328894318
0.01520360959165028,0.0578603958344225
0.00336191961696418,0.012321721504485291
0.038692856927125555,0.0101772045848975
0.0037035558251909506,0.0015719180613713102
0.02332942328141218,0.0026631947401312903
0.00314091737471214,0.007676219311092761
0.00412990213516214,0.00035369232958866004
0.00181521421200971,0.00030603455951308
0.07234073841629211,0.00745210195380414
0.04275537075916306,0.0018645030742199702
0.00276562643511211,0.006771529696296751
0.00294271397183432,0.00138481865167184
0.03815106569018984,0.01792646229276656
0.0011993650805102,0.00294717696782116
0.00449832183404846,0.021562064944436854
0.00296267422151432,0.0007273122228326001
0.01011775197886191,0.00252922405340646
0.00822515428755363,0.03497485304298684
0.00431186101507051,0.011510747261485932
0.00140707278110084,0.0051696405498761104
0.00149602809877518,0.15009628849944856
0.2678228633870971,0.035356223270972334
0.00011439953767887999,0.03316738322442171
